Domain,Have_IP,Have_At,URL_Length,URL_Depth,Redirection,https_Domain,TinyURL,Prefix/Suffix,DNS_Record,Domain_Age,Domain_End,iFrame,Mouse_Over,Right_Click,Web_Forwards,Label
smbc-aa8.shop,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,1
amazon-qasdex.mefound.com,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,1
owarstmp000002.firebaseapp.com,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,1
vinted-pl-gj32d.meisyo.xyz,0,0,1,2,0,0,0,1,0,0,0,1,1,1,1,1
mp-osteo.fr,0,0,1,6,0,0,0,1,0,0,0,1,1,1,1,1
sadatcoldstorage.com,0,0,1,4,0,0,0,0,0,0,0,1,1,1,0,1
att-108550.weeblysite.com,0,0,0,0,0,0,0,1,0,1,1,1,1,1,0,1
regt.eu,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,1
sitebuilder184272.dynadot.com,0,0,0,0,0,0,1,0,0,0,1,1,1,1,0,1
dapps-connect.herokuapp.com,0,0,0,0,0,0,0,1,1,1,1,0,1,1,0,1
30202211centerpege.rf.gd,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1
connexion-secure.103-155-93-161.plesk.page,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,1
rcube000001.web.app,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1
web-6967e.firebaseapp.com,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,1
indd.adobe.com,0,0,1,2,0,0,0,0,0,1,1,1,1,1,0,1
help-center343.crabdance.com,0,0,0,1,0,0,0,1,0,1,1,1,1,1,1,1
mypostal-update.com,0,0,0,1,0,0,0,1,0,0,0,1,1,1,1,1
socconnect.latelierbarbershop.com,0,0,1,3,0,0,0,0,0,0,0,1,1,1,1,1
dpd-dorstrowka102.downpahgro.cf,0,0,1,0,0,0,0,1,0,1,1,0,1,1,0,1
roundcube090012.web.app,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,1
etc-nsgfznbx.ikwb.com,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,1
s3.amazonaws.com,0,0,1,3,0,0,0,0,0,1,1,1,1,1,0,1
limi-llll-ttt-eeee.web.app,0,0,0,0,0,0,0,1,0,1,1,1,1,1,0,1
